college_name,college_code,specialty,category,cutoff_rank,year,counselling_body,degree,round,state,college_type,quota
"PMS College of Dental Sciences & Reseach Centre, Vattapara, TVPM.",,PERIODONTOLOGY,STATE MERIT,7716,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Annoor Dental College, Ernakulam.",,PROSTHODONTICS AND CROWN & BRIDGE,EZHAVA,7808,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"PMS College of Dental Sciences & Reseach Centre, Vattapara, TVPM.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,NRI,7921,2025,Kerala CEE,MDS,Round 1,Kerala,Private,NRI
"Annoor Dental College, Ernakulam.",,PEDIATRIC AND PREVENTIVE DENTISTRY,MUSLIM,8176,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"PMS College of Dental Sciences & Reseach Centre, Vattapara, TVPM.",,PERIODONTOLOGY,STATE MERIT,8374,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Sri. Sankara Dental College, Varkala",,PROSTHODONTICS AND CROWN & BRIDGE,BACKWARD HINDU,8502,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"PMS College of Dental Sciences & Reseach Centre, Vattapara, TVPM.",,PERIODONTOLOGY,STATE MERIT,8561,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Mar Baselios Dental College, Ernakulam.",,ORAL MEDICINE AND RADIOLOGY,STATE MERIT,8664,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"KMCT Dental College, Kozhikode.",,PEDIATRIC AND PREVENTIVE DENTISTRY,SCHEDULED CASTE,8841,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Malabar Dental College, Malappuram.",,PEDIATRIC AND PREVENTIVE DENTISTRY,SCHEDULED CASTE,8937,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
