college_name,college_code,specialty,category,cutoff_rank,year,counselling_body,degree,round,state,college_type,quota
"- - - - All India Government of Dental College and Hospital Jaipur, Near T.B. Hospital",,CONSERVATIVE DENTISTRY AND ENDODONTICS,OPEN GENERAL,2847,2025,MCC,MDS,Round 2,,Government,
- - - - - - No Upgradation 702 2864 Manageme nt/Paid Seats Saveetha Dental College,,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,REPORTED,2850,2025,MCC,MDS,Round 2,,Government,
"Delhi University Maulana Azad Science, New Delhi",,ORAL PATHOLOGY AND MICROBIOLOGY,OPEN GENERAL,2939,2025,MCC,MDS,Round 2,,Government,
"Science, BHU",,ORAL PATHOLOGY AND MICROBIOLOGY,OBC,2943,2025,MCC,MDS,Round 2,Uttar Pradesh,Government,Banaras Hindu University
- - - - - - Did not opt for Upgradation. 714 2971 Manageme nt/Paid Seats JSS Dental College and Hospital,,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,REPORTED,2949,2025,MCC,MDS,Round 2,,Government,
"- - - - Management/ Paid Seats Saveetha Dental College, Chennai",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,NO,3020,2025,MCC,MDS,Round 2,,Government,
"Government College of Dentistry, Indore",,PUBLIC HEALTH DENTISTRY,OPEN GENERAL,3080,2025,MCC,MDS,Round 2,,Government,All India
- - - - - - Did not opt for Upgradation. 732 3107 Manageme nt/Paid Seats School of Dental Sciences and KIMSDU,,CONSERVATIVE DENTISTRY AND ENDODONTICS,NOT,3081,2025,MCC,MDS,Round 2,,Government,
"Management/ Paid Seats AB Shetty Memorial Inst. of Dental Sce., Mangaluru",,CONSERVATIVE DENTISTRY AND ENDODONTICS,REPORTED,3151,2025,MCC,MDS,Round 2,,Government,
"- - - - - - No Upgradation 742 3204 Manageme nt/Paid Seats Dr. DY Patil Dental College and Hosp. Navi Mumbai ORAL AND MAXILLOFACIAL SURGERY Reported - - - - - - Did not opt for Upgradation. 743 3209 Manageme nt/Paid Seats Bharati Vidyapeeth DU Dental College and Hospt., Pune",,CONSERVATIVE DENTISTRY AND ENDODONTICS,NOT,3193,2025,MCC,MDS,Round 2,,Government,
- - - - - - Not Allotted. 747 3250 Manageme nt/Paid Seats Sree Balaji Dental College and Hospital,,ORAL PATHOLOGY AND MICROBIOLOGY,REPORTED,3238,2025,MCC,MDS,Round 2,,Government,
- - - - Management/ Paid Seats KLE VK Inst. of Dental Scie. Belagavi,,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,NO,3393,2025,MCC,MDS,Round 2,,Government,
"Management/ Paid Seats Rural Dental College, Loni",,CONSERVATIVE DENTISTRY AND ENDODONTICS,OPEN OBC,3443,2025,MCC,MDS,Round 2,Maharashtra,Government,
"- - - - Management/ Paid Seats School of Dental Sciences and KIMSDU, Karad",,CONSERVATIVE DENTISTRY AND ENDODONTICS,OPEN GENERAL,3511,2025,MCC,MDS,Round 2,,Government,
"Management/ Paid Seats Kalinga Institute of Dental Sciences, Bhubaneswar",,CONSERVATIVE DENTISTRY AND ENDODONTICS,REPORTED,3542,2025,MCC,MDS,Round 2,,Government,
"Mahatma Gandhi PG Sciences, Puducherry",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,REPORTED,3595,2025,MCC,MDS,Round 2,,Government,All India
"- - - - All India Indira Gandhi Govt. Dental College, Jammu",,PROSTHODONTICS AND CROWN & BRIDGE,NO,3645,2025,MCC,MDS,Round 2,Jammu And Kashmir,Government,
"- - - - Management/ Paid Seats Kalinga Institute of Dental Sciences, Bhubaneswar",,PROSTHODONTICS AND CROWN & BRIDGE,OPEN GENERAL,3744,2025,MCC,MDS,Round 2,,Government,
- - - - - - Did not opt for Upgradation. 808 3818 Manageme nt/Paid Seats Meenakshi Ammal Dental College and Host.,,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,SEAT,3791,2025,MCC,MDS,Round 2,,Government,
"- - - - Management/ Paid Seats Malla Reddy Institute of Dental sciences, Suraram X Roads",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,OPEN GENERAL,3940,2025,MCC,MDS,Round 2,,Government,
"Muslim Minority Yenepoya Dental College, Yenepoya",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,NO,3952,2025,MCC,MDS,Round 2,,Government,
"- - - - Management/ Paid Seats BVDU Dental College and Hospital, Navi Mumbai",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,NO,4029,2025,MCC,MDS,Round 2,,Government,
"- - - - Management/ Paid Seats JSS Dental College and Hospital, Mysuru",,CONSERVATIVE DENTISTRY AND ENDODONTICS,OPEN GENERAL,4079,2025,MCC,MDS,Round 2,,Government,
"- - - - Management/ Paid Seats Dr. DY Patil Dental College and Hosp. Navi Mumbai, Dr. D. Y. Patil Vidyanagar",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,OPEN GENERAL,4102,2025,MCC,MDS,Round 2,,Government,
- - - - - - Did not opt for Upgradation. 848 4141 Manageme nt/Paid Seats Yenepoya Dental College,,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,NOT,4109,2025,MCC,MDS,Round 2,,Government,
- - - - All India RIMS,,ORAL PATHOLOGY AND MICROBIOLOGY,OPEN GENERAL,4282,2025,MCC,MDS,Round 2,Andhra Pradesh,Government,
"Muslim Minority Yenepoya Dental College, Yenepoya",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,OPEN GENERAL,4314,2025,MCC,MDS,Round 2,,Government,
"- - - - - - Did not opt for Upgradation. 871 4329 Manageme nt/Paid Seats Dr. DY Patil Dental College and Hosp. Pune PROSTHODONTICS AND CROWN AND BRIDGE Not Reported Management/ Paid Seats Sharad Pawar Dental College and Hospital, Wardha",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,REPORTED,4325,2025,MCC,MDS,Round 2,,Government,
- - - - - - Did not opt for Upgradation. 876 4370 Manageme nt/Paid Seats School of Dental Sciences and KIMSDU,,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,OPEN EWS,4354,2025,MCC,MDS,Round 2,Maharashtra,Government,
"- - - - Management/ Paid Seats Yenepoya Dental College, Yenepoya",,PEDIATRIC AND PREVENTIVE DENTISTRY,OPEN GENERAL,4404,2025,MCC,MDS,Round 2,Karnataka,Government,
- - - - - - Did not opt for Upgradation. 887 4440 Manageme nt/Paid Seats Sree Balaji Dental College and Hospital,,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,NOT,4416,2025,MCC,MDS,Round 2,,Government,
"Post Graduate Sciences, Rohtak",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,NO,4573,2025,MCC,MDS,Round 2,,Government,All India
"Management/ Paid Seats Sciences, Bhubaneswar",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,REPORTED,4598,2025,MCC,MDS,Round 2,,Government,
"Management/ Paid Seats Sharad Pawar Dental College and Hospital, Wardha",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,REPORTED,4624,2025,MCC,MDS,Round 2,,Government,
"Jain Minority K M Shah Dental College, SumanDeep Vidyapeeth",,PROSTHODONTICS AND CROWN & BRIDGE,OPEN GENERAL,4647,2025,MCC,MDS,Round 2,,Government,
"- - - - Management/ Paid Seats JSS Dental College and Hospital, Mysuru",,PROSTHODONTICS AND CROWN & BRIDGE,OPEN GENERAL,4660,2025,MCC,MDS,Round 2,Karnataka,Government,
